Week,Condition,Treatment,SampleNumber,Proline
Wk_6,Well-watered,All Isolates,26,19.799
Wk_6,Well-watered,Control Mock,63,17.129
Wk_6,Drought,Nonfunctional Isolates,33,24.887
Wk_8,Well-watered,All Isolates,68,14.03
Wk_8,Well-watered,All Isolates,26,23.746
Wk_8,Well-watered,All Isolates,62,14.036
Wk_8,Drought,All Isolates,43,21.698
Wk_8,Drought,All Isolates,28,36.286
Wk_8,Drought,All Isolates,73,36.251
Wk_8,Well-watered,Phosphorus Isolates,64,15.762
Wk_8,Well-watered,Phosphorus Isolates,67,13.424
Wk_8,Well-watered,Null Isolates,9,12.054
Wk_8,Well-watered,Null Isolates,48,12.878
Wk_8,Well-watered,Null Isolates,76,12.558
Wk_8,Drought,Null Isolates,2,24.31
Wk_8,Drought,Null Isolates,17,25.916
Wk_8,Drought,Null Isolates,33,26.396
Wk_8,Well-watered,Control,75,7.343
Wk_8,Well-watered,Control,78,8.084
Wk_8,Well-watered,Control,77,15.591
Wk_8,Well-watered,Control Mock,24,15.044
Wk_8,Well-watered,Control Mock,20,17.806
Wk_8,Well-watered,Control Mock,63,11.632
Wk_8,Drought,Control,35,27.24
Wk_8,Drought,Control,79,22.516
Wk_8,Drought,Control,39,28.901
Wk_8,Drought,Control Mock,6,29.529
Wk_8,Drought,Control Mock,80,27.073
Wk_8,Drought,Control Mock,8,21.1
Wk_8,Well-watered,Drought Isolates,58,12.119
Wk_8,Drought,Phosphorus Isolates,4,22.632
Wk_8,Drought,Phosphorus Isolates,14,17.202
Wk_8,Drought,Phosphorus Isolates,11,21.33
Wk_8,Well-watered,Phosphorus Isolates,54,5.483
Wk_8,Well-watered,Drought Isolates,31,29.73
Wk_8,Drought,Drought Isolates,57,24.818
Wk_8,Well-watered,Drought Isolates,5,16.507
Wk_8,Drought,Drought Isolates,10,24.524
Wk_8,Drought,Drought Isolates,70,23.978
