Week,Condition,Treatment,SampleNumber,LipidPerox
Wk_6,Well-watered,All Isolates,18,74.664
Wk_6,Well-watered,Drought Isolates,58,68.444
Wk_6,Well-watered,Drought Isolates,31,73.859
Wk_6,Well-watered,All Isolates,26,68.831
Wk_6,Drought,Phosphorus Isolates,11,68.456
Wk_6,Drought,Control,35,69.134
Wk_8,Well-watered,All Isolates,62,71.959
Wk_8,Well-watered,All Isolates,43,62.267
Wk_8,Well-watered,All Isolates,68,88.859
Wk_8,Drought,All Isolates,26,140.352
Wk_8,Drought,All Isolates,28,77.889
Wk_8,Drought,All Isolates,73,80.445
Wk_8,Well-watered,Phosphorus Isolates,64,50.168
Wk_8,Well-watered,Phosphorus Isolates,67,62.299
Wk_8,Well-watered,Phosphorus Isolates,54,29.863
Wk_8,Drought,Phosphorus Isolates,11,49.091
Wk_8,Drought,Phosphorus Isolates,14,58.079
Wk_8,Drought,Phosphorus Isolates,4,59.884
Wk_8,Well-watered,Drought Isolates,58,58.846
Wk_8,Well-watered,Drought Isolates,31,53.754
Wk_8,Well-watered,Drought Isolates,5,64.827
Wk_8,Drought,Drought Isolates,10,72.018
Wk_8,Drought,Drought Isolates,70,60.972
Wk_8,Drought,Drought Isolates,57,62.206
Wk_8,Well-watered,Nonfunctional Isolates,9,38.774
Wk_8,Well-watered,Nonfunctional Isolates,48,46.855
Wk_8,Well-watered,Nonfunctional Isolates,76,51.234
Wk_8,Drought,Nonfunctional Isolates,2,57.691
Wk_8,Drought,Nonfunctional Isolates,17,66.684
Wk_8,Drought,Nonfunctional Isolates,33,52.191
Wk_8,Well-watered,Control,75,50.098
Wk_8,Well-watered,Control,78,43.513
Wk_8,Well-watered,Control,77,23.781
Wk_8,Well-watered,Control Mock,24,52.366
Wk_8,Well-watered,Control Mock,20,23.931
Wk_8,Well-watered,Control Mock,63,52.339
Wk_8,Drought,Control,35,80.487
Wk_8,Drought,Control,79,52.214
Wk_8,Drought,Control,39,56.819
Wk_8,Drought,Control Mock,6,58.711
Wk_8,Drought,Control Mock,80,73.333
Wk_8,Drought,Control Mock,8,77.169
